,,Time,Time,Path length,Path length,Iterations,Iterations,Memory,Memory,Visited,Visited
,,mean,std,mean,std,mean,std,mean,std,mean,std
Maze size,Algorithm,,,,,,,,,,
"(5, 5)",Astar,0.0004693333333333333,0.0001213768237075486,12.0,2.0,0.0,0.0,4070.6666666666665,2394.878980936893,19.333333333333332,5.507570547286102
"(5, 5)",Breadthfirst,0.0004883333333333333,0.00011792511748280492,12.0,2.0,0.0,0.0,7547.666666666667,9893.28824675261,36.0,7.937253933193772
"(5, 5)",Depthfirst,0.00041,0.0003357186321907082,12.0,2.0,0.0,0.0,2716.0,2036.9074598518216,31.0,19.078784028338912
"(5, 5)",MDPPolicyIteration,0.031684333333333335,0.0015579506838579106,12.0,2.0,14.333333333333334,1.1547005383792515,5012.0,2293.637504053332,0.0,0.0
"(5, 5)",MDPValueIteration,0.017004333333333333,0.002481013166698907,12.0,2.0,14.0,2.0,5667.333333333333,1644.3130277819164,0.0,0.0
"(10, 10)",Astar,0.0016026666666666665,0.0006685284835617203,32.0,6.0,0.0,0.0,5568.0,2213.3522087548563,67.66666666666667,26.501572280401277
"(10, 10)",Breadthfirst,0.00302,0.00045508131141588313,31.333333333333332,6.110100926607786,0.0,0.0,7937.666666666667,5620.928511672545,188.66666666666666,19.399312702601947
"(10, 10)",Depthfirst,0.0016950000000000001,0.0013405808442611732,46.666666666666664,10.263202878893768,0.0,0.0,3358.0,1504.5354764843532,124.0,80.2932126645833
"(10, 10)",MDPPolicyIteration,0.23949600000000001,0.09041783768151058,31.333333333333332,6.110100926607786,25.666666666666668,10.692676621563628,11128.0,0.0,0.0,0.0
"(10, 10)",MDPValueIteration,0.11673866666666666,0.0687651002204849,31.333333333333332,6.110100926607786,24.666666666666668,15.275252316519467,12765.0,475.67530942860594,0.0,0.0
"(20, 20)",Astar,0.009721666666666667,0.004884839540182802,72.0,5.291502622129181,0.0,0.0,26855.333333333332,8651.512257018037,399.3333333333333,176.56254793509675
"(20, 20)",Breadthfirst,0.019095,0.0024437579667389337,72.0,5.291502622129181,0.0,0.0,30949.666666666668,28518.695435333877,799.3333333333334,53.81759315812381
"(20, 20)",Depthfirst,0.013525,0.0065371925931549555,134.0,21.071307505705477,0.0,0.0,12085.666666666666,3864.309166375451,636.6666666666666,222.78539748675928
"(20, 20)",MDPPolicyIteration,2.491083,0.0936177485469503,72.0,5.291502622129181,64.33333333333333,2.516611478423583,41016.666666666664,222.8572039071966,0.0,0.0
"(20, 20)",MDPValueIteration,1.2188186666666667,0.10799861960383257,72.0,5.291502622129181,64.33333333333333,5.859465277082315,43774.0,140.62716664997558,0.0,0.0
"(50, 50)",Astar,0.038379666666666666,0.02777295987706988,183.33333333333334,11.718930554164634,0.0,0.0,171621.0,131949.53718372792,1555.3333333333333,1097.2986527529017
"(50, 50)",Breadthfirst,0.474755,0.010813867254594907,183.33333333333334,11.718930554164634,0.0,0.0,571798.6666666666,3428.567096227427,5321.666666666667,29.263173671584735
"(50, 50)",Depthfirst,0.16161833333333334,0.1596215014474345,701.3333333333334,431.24161827603484,0.0,0.0,254644.0,232376.392318583,2690.6666666666665,1993.554196236795
"(50, 50)",MDPPolicyIteration,33.959614,4.562803154474125,183.33333333333334,11.718930554164634,138.0,19.519221295943137,245392.0,0.0,0.0,0.0
"(50, 50)",MDPValueIteration,17.855739,2.8404612751662377,183.33333333333334,11.718930554164634,147.33333333333334,23.586719427112648,251190.33333333334,701.5107506897723,0.0,0.0
